Temps,Vitesse angulaire
13.2167,6.60267
13.2333,6.59921
13.25,6.59576
13.2667,6.59231
13.2833,6.58886
13.3,6.58541
13.3167,6.58196
13.3333,6.57852
13.35,6.57508
13.3667,6.57164
13.3833,6.5682
13.4,6.56476
13.4167,6.56132
13.4333,6.55789
13.45,6.55446
13.4667,6.55103
13.4833,6.5476
13.5,6.54417
13.5167,6.54075
13.5333,6.53732
13.55,6.5339
13.5667,6.53048
13.5833,6.52707
13.6,6.52365
13.6167,6.52024
13.6333,6.51682
13.65,6.51341
13.6667,6.51
13.6833,6.5066
13.7,6.50319
13.7167,6.49979
13.7333,6.49639
13.75,6.49299
13.7667,6.48959
13.7833,6.48619
13.8,6.4828
13.8167,6.47941
13.8333,6.47602
13.85,6.47263
13.8667,6.46924
13.8833,6.46585
13.9,6.46247
13.9167,6.45909
13.9333,6.45571
13.95,6.45233
13.9667,6.44895
13.9833,6.44558
14,6.4422
14.0167,6.43883
14.0333,6.43546
14.05,6.4321
14.0667,6.42873
14.0833,6.42536
14.1,6.422
14.1167,6.41864
14.1333,6.41528
14.15,6.41192
14.1667,6.40857
14.1833,6.40522
14.2,6.40186
14.2167,6.39851
14.2333,6.39516
14.25,6.39182
14.2667,6.38847
14.2833,6.38513
14.3,6.38179
14.3167,6.37845
14.3333,6.37511
14.35,6.37177
14.3667,6.36844
14.3833,6.36511
14.4,6.36178
14.4167,6.35845
14.4333,6.35512
14.45,6.35179
14.4667,6.34847
14.4833,6.34515
14.5,6.34183
14.5167,6.33851
14.5333,6.33519
14.55,6.33187
14.5667,6.32856
14.5833,6.32525
14.6,6.32194
14.6167,6.31863
14.6333,6.31532
14.65,6.31202
14.6667,6.30871
14.6833,6.30541
14.7,6.30211
14.7167,6.29882
14.7333,6.29552
14.75,6.29222
14.7667,6.28893
14.7833,6.28564
14.8,6.28235
14.8167,6.27906
14.8333,6.27578
14.85,6.27249
14.8667,6.26921
14.8833,6.26593
14.9,6.26265
14.9167,6.25937
14.9333,6.2561
14.95,6.25282
14.9667,6.24955
14.9833,6.24628
15,6.24301
15.0167,6.23974
15.0333,6.23648
15.05,6.23321
15.0667,6.22995
15.0833,6.22669
15.1,6.22343
15.1167,6.22018
15.1333,6.21692
15.15,6.21367
15.1667,6.21042
15.1833,6.20717
15.2,6.20392
15.2167,6.20067
15.2333,6.19743
15.25,6.19418
15.2667,6.19094
15.2833,6.1877
15.3,6.18446
15.3167,6.18123
15.3333,6.17799
15.35,6.17476
15.3667,6.17153
15.3833,6.1683
15.4,6.16507
15.4167,6.16184
15.4333,6.15862
15.45,6.15539
15.4667,6.15217
15.4833,6.14895
15.5,6.14573
15.5167,6.14252
15.5333,6.1393
15.55,6.13609
15.5667,6.13288
15.5833,6.12967
15.6,6.12646
15.6167,6.12326
15.6333,6.12005
15.65,6.11685
15.6667,6.11365
15.6833,6.11045
15.7,6.10725
15.7167,6.10405
15.7333,6.10086
15.75,6.09767
15.7667,6.09448
15.7833,6.09129
15.8,6.0881
15.8167,6.08491
15.8333,6.08173
15.85,6.07855
15.8667,6.07537
15.8833,6.07219
15.9,6.06901
15.9167,6.06583
15.9333,6.06266
15.95,6.05948
15.9667,6.05631
15.9833,6.05314
16,6.04998
16.0167,6.04681
16.0333,6.04365
16.05,6.04048
16.0667,6.03732
16.0833,6.03416
16.1,6.031
16.1167,6.02785
16.1333,6.02469
16.15,6.02154
16.1667,6.01839
16.1833,6.01524
16.2,6.01209
16.2167,6.00895
16.2333,6.0058
16.25,6.00266
16.2667,5.99952
16.2833,5.99638
16.3,5.99324
16.3167,5.9901
16.3333,5.98697
16.35,5.98383
16.3667,5.9807
16.3833,5.97757
16.4,5.97444
16.4167,5.97132
16.4333,5.96819
16.45,5.96507
16.4667,5.96195
16.4833,5.95883
16.5,5.95571
16.5167,5.95259
16.5333,5.94948
16.55,5.94636
16.5667,5.94325
16.5833,5.94014
16.6,5.93703
16.6167,5.93393
16.6333,5.93082
16.65,5.92772
16.6667,5.92461
16.6833,5.92151
16.7,5.91841
16.7167,5.91532
16.7333,5.91222
16.75,5.90913
16.7667,5.90603
16.7833,5.90294
16.8,5.89985
16.8167,5.89677
16.8333,5.89368
16.85,5.8906
16.8667,5.88751
16.8833,5.88443
16.9,5.88135
16.9167,5.87828
16.9333,5.8752
16.95,5.87212
16.9667,5.86905
16.9833,5.86598
17,5.86291
17.0167,5.85984
17.0333,5.85678
17.05,5.85371
17.0667,5.85065
17.0833,5.84758
17.1,5.84452
