Temps,Vitesse
11.8667,2.39547
11.8833,2.39151
11.9,2.38756
11.9167,2.38361
11.9333,2.37968
11.95,2.37575
11.9667,2.37183
11.9833,2.36792
12,2.36401
12.0167,2.36011
12.0333,2.35623
12.05,2.35234
12.0667,2.34847
12.0833,2.3446
12.1,2.34074
12.1167,2.33689
12.1333,2.33305
12.15,2.32921
12.1667,2.32538
12.1833,2.32156
12.2,2.31775
12.2167,2.31394
12.2333,2.31014
12.25,2.30635
12.2667,2.30256
12.2833,2.29879
12.3,2.29502
12.3167,2.29126
12.3333,2.2875
12.35,2.28375
12.3667,2.28001
12.3833,2.27628
12.4,2.27255
12.4167,2.26883
12.4333,2.26512
12.45,2.26142
12.4667,2.25772
12.4833,2.25403
12.5,2.25035
12.5167,2.24667
12.5333,2.243
12.55,2.23934
12.5667,2.23569
12.5833,2.23204
12.6,2.2284
12.6167,2.22477
12.6333,2.22114
12.65,2.21752
12.6667,2.21391
12.6833,2.2103
12.7,2.20671
12.7167,2.20311
12.7333,2.19953
12.75,2.19595
12.7667,2.19238
12.7833,2.18882
12.8,2.18526
12.8167,2.18171
12.8333,2.17817
12.85,2.17463
12.8667,2.1711
12.8833,2.16758
12.9,2.16406
12.9167,2.16055
12.9333,2.15705
12.95,2.15355
12.9667,2.15006
12.9833,2.14658
13,2.1431
13.0167,2.13963
13.0333,2.13617
13.05,2.13271
13.0667,2.12926
13.0833,2.12582
13.1,2.12238
13.1167,2.11895
13.1333,2.11553
13.15,2.11211
13.1667,2.1087
13.1833,2.10529
13.2,2.1019
13.2167,2.0985
13.2333,2.09512
13.25,2.09174
13.2667,2.08837
13.2833,2.085
13.3,2.08164
13.3167,2.07829
13.3333,2.07494
13.35,2.0716
13.3667,2.06827
13.3833,2.06494
13.4,2.06162
13.4167,2.0583
13.4333,2.05499
13.45,2.05169
13.4667,2.04839
13.4833,2.0451
13.5,2.04182
13.5167,2.03854
13.5333,2.03527
13.55,2.032
13.5667,2.02874
13.5833,2.02549
13.6,2.02224
13.6167,2.019
13.6333,2.01576
13.65,2.01253
13.6667,2.00931
13.6833,2.00609
13.7,2.00288
13.7167,1.99968
13.7333,1.99648
13.75,1.99328
13.7667,1.9901
13.7833,1.98691
13.8,1.98374
13.8167,1.98057
13.8333,1.9774
13.85,1.97425
13.8667,1.97109
13.8833,1.96795
13.9,1.96481
13.9167,1.96167
13.9333,1.95855
13.95,1.95542
13.9667,1.95231
13.9833,1.94919
14,1.94609
14.0167,1.94299
14.0333,1.93989
14.05,1.93681
14.0667,1.93372
14.0833,1.93065
14.1,1.92758
14.1167,1.92451
14.1333,1.92145
14.15,1.9184
14.1667,1.91535
14.1833,1.9123
14.2,1.90927
14.2167,1.90624
14.2333,1.90321
14.25,1.90019
14.2667,1.89717
14.2833,1.89416
14.3,1.89116
14.3167,1.88816
14.3333,1.88517
14.35,1.88218
14.3667,1.8792
14.3833,1.87622
14.4,1.87325
14.4167,1.87029
14.4333,1.86733
14.45,1.86437
14.4667,1.86142
14.4833,1.85848
14.5,1.85554
14.5167,1.85261
14.5333,1.84968
14.55,1.84676
14.5667,1.84384
14.5833,1.84093
14.6,1.83802
14.6167,1.83512
14.6333,1.83222
14.65,1.82933
14.6667,1.82645
14.6833,1.82357
14.7,1.82069
14.7167,1.81782
14.7333,1.81496
14.75,1.8121
14.7667,1.80925
14.7833,1.8064
14.8,1.80355
14.8167,1.80072
14.8333,1.79788
14.85,1.79505
14.8667,1.79223
14.8833,1.78941
14.9,1.7866
14.9167,1.78379
14.9333,1.78099
14.95,1.77819
14.9667,1.7754
14.9833,1.77261
15,1.76983
15.0167,1.76705
15.0333,1.76428
15.05,1.76151
15.0667,1.75875
15.0833,1.75599
