Temps (s);Vitesse angulaire (rad/s)
5,8166637;8,3307905
5,824997;8,328611
5,83333;8,326432
5,8416634;8,324254
5,8499966;8,322077
5,85833;8,3199
5,866663;8,317723
5,874996;8,315547
5,8833294;8,313372
5,8916626;8,311196
5,899996;8,309022
5,908329;8,306849
5,916662;8,304675
5,9249954;8,302503
5,9333286;8,30033
5,941662;8,298159
5,949995;8,295988
5,9583282;8,2938175
5,9666615;8,291648
5,9749947;8,289478
5,983328;8,28731
5,991661;8,285142
5,9999943;8,282974
6,0083275;8,2808075
6,0166607;8,278641
6,024994;8,276475
6,033327;8,27431
6,0416603;8,272145
6,0499935;8,269981
6,0583267;8,2678175
6,06666;8,265655
6,074993;8,263493
6,0833263;8,261331
6,0916595;8,25917
6,0999928;8,257009
6,108326;8,2548485
6,116659;8,252689
6,1249924;8,25053
6,1333256;8,248372
6,141659;8,246214
6,149992;8,244057
6,158325;8,2419
6,1666584;8,239744
6,1749916;8,237589
6,183325;8,235434
6,191658;8,233279
6,199991;8,231125
6,2083244;8,2289715
6,2166576;8,226819
6,224991;8,224667
6,233324;8,222515
6,2416573;8,220364
6,2499905;8,218213
6,2583237;8,2160635
6,266657;8,213914
6,27499;8,211765
6,2833233;8,209617
6,2916565;8,207469
6,2999897;8,205322
6,308323;8,203176
6,316656;8,20103
6,3249893;8,198884
6,3333225;8,196739
6,3416557;8,194594
6,349989;8,192451
6,358322;8,190308
6,3666553;8,188165
6,3749886;8,186023
6,383322;8,183881
6,391655;8,18174
6,399988;8,1796
6,4083214;8,17746
6,4166546;8,175321
6,424988;8,173182
6,433321;8,171043
6,441654;8,168906
6,4499874;8,166769
6,4583206;8,164633
6,466654;8,162497
6,474987;8,160361
6,48332;8,158226
6,4916534;8,156092
6,4999866;8,153958
6,50832;8,151825
6,516653;8,149693
6,5249863;8,14756
6,5333195;8,145429
6,5416527;8,143298
6,549986;8,141168
6,558319;8,139038
6,5666523;8,136909
6,5749855;8,13478
6,5833187;8,132651
6,591652;8,130524
6,599985;8,128397
6,6083183;8,12627
6,6166515;8,124145
6,6249847;8,122019
6,633318;8,119894
6,641651;8,11777
6,6499844;8,115646
6,6583176;8,1135235
6,666651;8,111401
6,674984;8,109279
6,683317;8,107157
6,6916504;8,105036
6,6999836;8,102916
6,708317;8,100796
6,71665;8,098677
6,724983;8,096558
6,7333164;8,0944395
6,7416496;8,092322
6,749983;8,090205
6,758316;8,088089
6,7666492;8,085973
6,7749825;8,083858
6,7833157;8,081742
6,791649;8,079628
6,799982;8,077515
6,8083153;8,075401
6,8166485;8,073289
6,8249817;8,071177
6,833315;8,069065
6,841648;8,066955
6,8499813;8,064844
6,8583145;8,062735
6,8666477;8,060625
6,874981;8,0585165
6,883314;8,056408
6,8916473;8,0543
6,8999805;8,052194
6,9083138;8,050087
6,916647;8,047981
6,92498;8,045876
6,9333134;8,043771
6,9416466;8,041666
6,94998;8,039562
6,958313;8,037459
6,966646;8,0353565
6,9749794;8,033255
6,9833126;8,031153
6,991646;8,029052
6,999979;8,026951
7,008312;8,024851
7,0166454;8,022752
7,0249786;8,020653
7,033312;8,018555
7,041645;8,016457
7,0499783;8,014359
7,0583115;8,012263
7,0666447;8,010167
7,074978;8,008072
7,083311;8,005977
7,0916443;8,003882
7,0999775;8,001788
7,1083107;7,999695
7,116644;7,997602
7,124977;7,9955096
7,1333103;7,9934177
7,1416435;7,991327
7,1499767;7,9892364
7,15831;7,9871464
7,166643;7,985057
7,1749763;7,982968
7,1833096;7,9808793
7,1916428;7,978791
7,199976;7,976704
7,208309;7,9746175
7,2166424;7,9725313
7,2249756;7,9704456
7,233309;7,9683604
7,241642;7,9662757
7,249975;7,9641914
7,2583084;7,962108
7,2666416;7,9600253
7,274975;7,957943
7,283308;7,955861
7,291641;7,9537797
7,2999744;7,951699
7,3083076;7,9496183
7,316641;7,947539
7,324974;7,94546
7,3333073;7,9433813
7,3416405;7,9413033
7,3499737;7,9392257
7,358307;7,9371486
7,36664;7,935072
7,3749733;7,9329963
7,3833065;7,930921
7,3916397;7,9288464
7,399973;7,926772
7,408306;7,9246984
7,4166393;7,922625
7,4249725;7,9205523
7,4333057;7,91848
7,441639;7,9164085
7,449972;7,9143376
7,4583054;7,912267
7,4666386;7,9101973
7,474972;7,908128
7,483305;7,906059
7,491638;7,9039903
7,4999714;7,9019227
